,0,1,2
12,God,and,0.3333333333333333
6,God,entitle,1.0
10,God,equal,1.0
9,God,laws,1.0
5,God,nature,0.5
1,God,of,0.2
4,God,s,1.0
2,God,separate,1.0
7,God,station,1.0
11,God,the,0.1111111111111111
8,God,them,0.3333333333333333
0,God,to,0.2
3,God,which,0.3333333333333333
13,When,course,1.0
15,When,events,1.0
18,When,human,1.0
17,When,in,1.0
14,When,of,0.2
16,When,the,0.1111111111111111
34,a,causes,1.0
20,a,decent,1.0
26,a,declare,1.0
32,a,impel,1.0
29,a,mankind,1.0
28,a,of,0.2
33,a,opinions,1.0
25,a,requires,1.0
35,a,respect,1.0
22,a,separation,1.0
24,a,should,1.0
27,a,that,1.0
23,a,the,0.1111111111111111
31,a,them,0.3333333333333333
21,a,they,1.0
19,a,to,0.2
30,a,which,0.3333333333333333
39,among,and,0.3333333333333333
41,among,assume,1.0
42,among,earth,1.0
40,among,of,0.2
37,among,powers,1.0
38,among,the,0.1111111111111111
36,among,to,0.2
57,and,assume,0.3333333333333333
56,and,earth,0.3333333333333333
47,and,entitle,0.3333333333333333
48,and,equal,0.3333333333333333
55,and,laws,0.3333333333333333
53,and,nature,0.16666666666666666
50,and,of,0.13333333333333333
44,and,powers,0.3333333333333333
52,and,s,0.3333333333333333
45,and,separate,0.3333333333333333
46,and,station,0.3333333333333333
49,and,the,0.07407407407407407
54,and,them,0.1111111111111111
43,and,to,0.13333333333333333
51,and,which,0.1111111111111111
66,another,becomes,1.0
67,another,bonds,1.0
65,another,connected,1.0
73,another,dissolve,1.0
63,another,for,1.0
62,another,have,1.0
60,another,it,1.0
72,another,necessary,1.0
64,another,one,1.0
69,another,people,1.0
61,another,political,1.0
68,another,the,0.1111111111111111
71,another,them,0.3333333333333333
58,another,to,0.2
70,another,which,0.3333333333333333
59,another,with,1.0
78,assume,earth,1.0
77,assume,of,0.2
75,assume,powers,1.0
76,assume,the,0.1111111111111111
74,assume,to,0.2
87,becomes,bonds,1.0
86,becomes,connected,1.0
93,becomes,dissolve,1.0
84,becomes,for,1.0
83,becomes,have,1.0
81,becomes,it,1.0
92,becomes,necessary,1.0
85,becomes,one,1.0
89,becomes,people,1.0
82,becomes,political,1.0
88,becomes,the,0.1111111111111111
91,becomes,them,0.3333333333333333
79,becomes,to,0.2
90,becomes,which,0.3333333333333333
80,becomes,with,1.0
100,bonds,connected,1.0
107,bonds,dissolve,1.0
99,bonds,for,1.0
98,bonds,have,1.0
96,bonds,it,1.0
106,bonds,necessary,1.0
101,bonds,one,1.0
103,bonds,people,1.0
97,bonds,political,1.0
102,bonds,the,0.1111111111111111
105,bonds,them,0.3333333333333333
94,bonds,to,0.2
104,bonds,which,0.3333333333333333
95,bonds,with,1.0
109,causes,decent,1.0
115,causes,declare,1.0
121,causes,impel,1.0
118,causes,mankind,1.0
117,causes,of,0.2
122,causes,opinions,1.0
114,causes,requires,1.0
123,causes,respect,1.0
111,causes,separation,1.0
113,causes,should,1.0
116,causes,that,1.0
112,causes,the,0.1111111111111111
120,causes,them,0.3333333333333333
110,causes,they,1.0
108,causes,to,0.2
119,causes,which,0.3333333333333333
136,connected,dissolve,1.0
129,connected,for,1.0
128,connected,have,1.0
126,connected,it,1.0
135,connected,necessary,1.0
130,connected,one,1.0
132,connected,people,1.0
127,connected,political,1.0
