,0,1,2
0,God,and,0.3333333333333333
1,God,entitle,1.0
2,God,equal,1.0
3,God,laws,1.0
4,God,nature,0.5
5,God,of,0.2
6,God,s,1.0
7,God,separate,1.0
8,God,station,1.0
9,God,the,0.1111111111111111
10,God,them,0.3333333333333333
11,God,to,0.2
12,God,which,0.3333333333333333
13,When,course,1.0
14,When,events,1.0
15,When,human,1.0
16,When,in,1.0
17,When,of,0.2
18,When,the,0.1111111111111111
19,a,causes,1.0
20,a,decent,1.0
21,a,declare,1.0
22,a,impel,1.0
23,a,mankind,1.0
24,a,of,0.2
25,a,opinions,1.0
26,a,requires,1.0
27,a,respect,1.0
28,a,separation,1.0
29,a,should,1.0
30,a,that,1.0
31,a,the,0.1111111111111111
32,a,them,0.3333333333333333
33,a,they,1.0
34,a,to,0.2
35,a,which,0.3333333333333333
36,among,and,0.3333333333333333
37,among,assume,1.0
38,among,earth,1.0
39,among,of,0.2
40,among,powers,1.0
41,among,the,0.1111111111111111
42,among,to,0.2
43,and,assume,0.3333333333333333
44,and,earth,0.3333333333333333
45,and,entitle,0.3333333333333333
46,and,equal,0.3333333333333333
47,and,laws,0.3333333333333333
48,and,nature,0.16666666666666666
49,and,of,0.13333333333333333
50,and,powers,0.3333333333333333
51,and,s,0.3333333333333333
52,and,separate,0.3333333333333333
53,and,station,0.3333333333333333
54,and,the,0.07407407407407407
55,and,them,0.1111111111111111
56,and,to,0.13333333333333333
57,and,which,0.1111111111111111
58,another,becomes,1.0
59,another,bonds,1.0
60,another,connected,1.0
61,another,dissolve,1.0
62,another,for,1.0
63,another,have,1.0
64,another,it,1.0
65,another,necessary,1.0
66,another,one,1.0
67,another,people,1.0
68,another,political,1.0
69,another,the,0.1111111111111111
70,another,them,0.3333333333333333
71,another,to,0.2
72,another,which,0.3333333333333333
73,another,with,1.0
74,assume,earth,1.0
75,assume,of,0.2
76,assume,powers,1.0
77,assume,the,0.1111111111111111
78,assume,to,0.2
79,becomes,bonds,1.0
80,becomes,connected,1.0
81,becomes,dissolve,1.0
82,becomes,for,1.0
83,becomes,have,1.0
84,becomes,it,1.0
85,becomes,necessary,1.0
86,becomes,one,1.0
87,becomes,people,1.0
88,becomes,political,1.0
89,becomes,the,0.1111111111111111
90,becomes,them,0.3333333333333333
91,becomes,to,0.2
92,becomes,which,0.3333333333333333
93,becomes,with,1.0
94,bonds,connected,1.0
95,bonds,dissolve,1.0
96,bonds,for,1.0
97,bonds,have,1.0
98,bonds,it,1.0
99,bonds,necessary,1.0
100,bonds,one,1.0
101,bonds,people,1.0
102,bonds,political,1.0
103,bonds,the,0.1111111111111111
104,bonds,them,0.3333333333333333
105,bonds,to,0.2
106,bonds,which,0.3333333333333333
107,bonds,with,1.0
108,causes,decent,1.0
109,causes,declare,1.0
110,causes,impel,1.0
111,causes,mankind,1.0
112,causes,of,0.2
113,causes,opinions,1.0
114,causes,requires,1.0
115,causes,respect,1.0
116,causes,separation,1.0
117,causes,should,1.0
118,causes,that,1.0
119,causes,the,0.1111111111111111
120,causes,them,0.3333333333333333
121,causes,they,1.0
122,causes,to,0.2
123,causes,which,0.3333333333333333
124,connected,dissolve,1.0
125,connected,for,1.0
126,connected,have,1.0
127,connected,it,1.0
128,connected,necessary,1.0
129,connected,one,1.0
130,connected,people,1.0
131,connected,political,1.0
132,connected,the,0.1111111111111111
133,connected,them,0.3333333333333333
134,connected,to,0.2
135,connected,which,0.3333333333333333
136,connected,with,1.0
137,course,events,1.0
138,course,human,1.0
139,course,in,1.0
140,course,of,0.2
141,course,the,0.1111111111111111
142,decent,declare,1.0
143,decent,impel,1.0
144,decent,mankind,1.0
145,decent,of,0.2
146,decent,opinions,1.0
147,decent,requires,1.0
148,decent,respect,1.0
149,decent,separation,1.0
150,decent,should,1.0
151,decent,that,1.0
152,decent,the,0.1111111111111111
153,decent,them,0.3333333333333333
154,decent,they,1.0
155,decent,to,0.2
156,decent,which,0.3333333333333333
157,declare,impel,1.0
158,declare,mankind,1.0
159,declare,of,0.2
160,declare,opinions,1.0
161,declare,requires,1.0
162,declare,respect,1.0
163,declare,separation,1.0
164,declare,should,1.0
165,declare,that,1.0
166,declare,the,0.1111111111111111
167,declare,them,0.3333333333333333
168,declare,they,1.0
